Date,Open,High,Low,Close,Adj Close,Volume,Stock
2020-07-09,373.450012,376.0,365.299988,370.350006,370.350006,35144463.0,ICICI
2020-07-10,364.899994,368.200012,359.0,360.350006,360.350006,27864858.0,ICICI
2020-07-13,364.100006,367.0,352.5,353.600006,353.600006,32379935.0,ICICI
2020-07-14,351.5,352.450012,340.600006,345.549988,345.549988,34031256.0,ICICI
2020-07-15,349.5,356.799988,343.75,345.799988,345.799988,30442553.0,ICICI
2020-07-16,347.950012,348.600006,341.0,344.649994,344.649994,35535437.0,ICICI
2020-07-17,346.0,356.0,345.450012,353.799988,353.799988,27511781.0,ICICI
2020-07-20,358.0,366.350006,355.25,363.0,363.0,36312529.0,ICICI
2020-07-21,371.0,379.899994,370.049988,378.799988,378.799988,45559912.0,ICICI
2020-07-22,386.899994,389.5,375.299988,381.100006,381.100006,45500191.0,ICICI
2020-07-23,382.549988,395.649994,378.850006,392.25,392.25,37838027.0,ICICI
2020-07-24,388.299988,388.700012,372.149994,381.799988,381.799988,52980980.0,ICICI
2020-07-27,385.0,385.799988,356.600006,358.5,358.5,73275058.0,ICICI
2020-07-28,361.100006,362.75,343.200012,352.100006,352.100006,125939354.0,ICICI
2020-07-29,353.200012,357.649994,348.200012,351.049988,351.049988,50194622.0,ICICI
2020-07-30,353.399994,354.600006,340.399994,344.950012,344.950012,40820253.0,ICICI
2020-07-31,346.450012,353.0,342.049988,346.799988,346.799988,37345191.0,ICICI
2020-08-03,346.799988,349.350006,340.5,343.25,343.25,32119883.0,ICICI
2020-08-04,347.0,353.200012,344.200012,351.0,351.0,30811518.0,ICICI
2020-08-05,353.399994,360.0,350.75,352.200012,352.200012,37057881.0,ICICI
2020-08-06,353.450012,363.75,348.600006,358.75,358.75,48021824.0,ICICI
2020-08-07,359.450012,359.649994,353.149994,357.950012,357.950012,28510964.0,ICICI
2020-08-10,359.5,364.950012,357.350006,363.549988,363.549988,22856010.0,ICICI
2020-08-11,370.0,374.299988,364.049988,367.350006,367.350006,45446107.0,ICICI
